Date,Adj Close
2000-01-04 00:00:00-05:00,441.8999938964844
2000-01-05 00:00:00-05:00,438.1000061035156
2000-01-06 00:00:00-05:00,435.29998779296875
2000-01-07 00:00:00-05:00,443.8999938964844
2000-01-10 00:00:00-05:00,451.95001220703125
2000-01-11 00:00:00-05:00,449.3999938964844
2000-01-12 00:00:00-05:00,452.25
2000-01-13 00:00:00-05:00,447.0
2000-01-14 00:00:00-05:00,441.0
2000-01-18 00:00:00-05:00,438.70001220703125
2000-01-19 00:00:00-05:00,442.75
2000-01-20 00:00:00-05:00,451.70001220703125
2000-01-21 00:00:00-05:00,457.1000061035156
2000-01-24 00:00:00-05:00,470.25
2000-01-25 00:00:00-05:00,479.0
2000-01-26 00:00:00-05:00,472.0
2000-01-27 00:00:00-05:00,483.0
2000-01-28 00:00:00-05:00,485.8999938964844
2000-01-31 00:00:00-05:00,484.70001220703125
2000-02-01 00:00:00-05:00,492.54998779296875
2000-02-02 00:00:00-05:00,502.25
2000-02-03 00:00:00-05:00,514.0499877929688
2000-02-04 00:00:00-05:00,530.0
2000-02-07 00:00:00-05:00,540.9000244140625
2000-02-08 00:00:00-05:00,579.7999877929688
2000-02-09 00:00:00-05:00,590.1500244140625
2000-02-10 00:00:00-05:00,580.0
2000-02-11 00:00:00-05:00,598.8499755859375
2000-02-14 00:00:00-05:00,605.5
2000-02-15 00:00:00-05:00,658.3499755859375
2000-02-16 00:00:00-05:00,711.1500244140625
2000-02-17 00:00:00-05:00,705.5499877929688
2000-02-18 00:00:00-05:00,701.25
2000-02-22 00:00:00-05:00,816.7999877929688
2000-02-23 00:00:00-05:00,720.0
2000-02-24 00:00:00-05:00,697.4000244140625
2000-02-25 00:00:00-05:00,689.0
2000-02-28 00:00:00-05:00,721.2000122070312
2000-02-29 00:00:00-05:00,712.0
2000-03-01 00:00:00-05:00,690.9000244140625
2000-03-02 00:00:00-05:00,665.4000244140625
2000-03-03 00:00:00-05:00,655.0
2000-03-06 00:00:00-05:00,660.0
2000-03-07 00:00:00-05:00,665.5
2000-03-08 00:00:00-05:00,704.7000122070312
